Id,Type,Transaction_type,Payer,Payee,Amount,Transaction_date
2,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
3,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
4,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
5,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
6,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
7,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
8,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
9,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
10,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
11,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
12,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
13,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
14,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
15,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
16,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
17,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
18,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000,10/18/2016 13:51
19,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000,10/18/2016 13:51
20,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000,10/18/2016 13:51
21,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000,10/18/2016 13:51
22,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000,10/18/2016 13:51
23,EXTERNAL,CUSTOMER_MERCHANT,kumara@LOFC@94648484546444,acc.exide1@LOFC,855,10/18/2016 13:51
24,EXTERNAL,CUSTOMER_MERCHANT,kumara@LOFC@94648484546444,acc.exide1@LOFC,8525.6,10/18/2016 13:51
25,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
26,EXTERNAL,CUSTOMER_MERCHANT,kumara@LOFC@94648484546444,acc.insu1@SAMPATH,9553,10/18/2016 13:51
27,EXTERNAL,CUSTOMER_MERCHANT,kumara@LOFC@94648484546444,acc.insu1@SAMPATH,9553,10/18/2016 13:51
28,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,1000.25,10/18/2016 13:51
29,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,9999.25,10/18/2016 13:51
30,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@868686,acc.exide1@LOFC,668,10/18/2016 13:51
31,EXTERNAL,CUSTOMER_MERCHANT,kumara@SAMPATH@8686868,acc.exide1@LOFC,35566,10/18/2016 13:51
32,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,9999.25,10/18/2016 13:51
33,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.insu1@SAMPATH,12,10/18/2016 13:51
34,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,12,10/18/2016 13:51
35,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,12,10/18/2016 13:51
36,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,12,10/18/2016 13:51
37,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,1254,10/18/2016 13:51
38,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,1254,10/18/2016 13:51
39,EXTERNAL,CUSTOMER_MERCHANT,kumara@SAMPATH@65,acc.exide1@LOFC,1000,10/18/2016 13:51
40,EXTERNAL,CUSTOMER_MERCHANT,kumara@SAMPATH@65,acc.exide1@LOFC,1000,10/18/2016 13:51
41,EXTERNAL,CUSTOMER_MERCHANT,kumara@SAMPATH@65,acc.exide1@LOFC,1000,10/18/2016 13:51
42,EXTERNAL,CUSTOMER_MERCHANT,kumara@SAMPATH@65,acc.exide1@LOFC,1000,10/18/2016 13:51
43,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
44,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
45,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
46,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
47,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
48,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
49,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
50,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
51,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
52,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
53,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
54,EXTERNAL,CUSTOMER_MERCHANT,thu@LOFC@123456,acc.exide1@LOFC,123,10/18/2016 13:51
55,EXTERNAL,CUSTOMER_MERCHANT,kumara@SAMPATH@65,acc.exide1@LOFC,1000,10/18/2016 13:51
56,EXTERNAL,CUSTOMER_MERCHANT,kumara@SAMPATH@65,acc.exide1@LOFC,1000,10/18/2016 13:51
57,EXTERNAL,CUSTOMER_MERCHANT,kumara@SAMPATH@65,acc.exide1@LOFC,1000,10/18/2016 13:51
58,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,50000.25,10/18/2016 13:51
59,EXTERNAL,CUSTOMER_MERCHANT,amal@LOFC@6532,acc.exide1@LOFC,852,10/18/2016 13:51
60,EXTERNAL,CUSTOMER_MERCHANT,amal@LOFC@6532,acc.exide1@LOFC,100,10/18/2016 13:51
61,EXTERNAL,CUSTOMER_MERCHANT,amal@LOFC@6532,acc.exide1@LOFC,100,10/18/2016 13:51
62,EXTERNAL,CUSTOMER_MERCHANT,amal@CLC@655,acc.insu1@SAMPATH,52,10/18/2016 13:51
63,EXTERNAL,CUSTOMER_MERCHANT,amal@CLC@655,acc.insu1@SAMPATH,52,10/18/2016 13:51
64,EXTERNAL,CUSTOMER_MERCHANT,amal@CLC@655,acc.insu1@SAMPATH,52,10/18/2016 13:51
65,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,1000,10/18/2016 13:51
66,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,1000,10/18/2016 13:51
67,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,1000,10/18/2016 13:51
68,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,1000,10/18/2016 13:51
69,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,1000,10/18/2016 13:51
70,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,1000,10/18/2016 13:51
71,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,1000,10/18/2016 13:51
72,INTERNAL,CUSTOMER_CUSTOMER,tempCustomer@LOFC@12155599,tempCustomer@LOFC@121555991,50000.25,10/18/2016 13:51
73,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
74,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
75,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,1000,10/18/2016 13:51
